e=1723, method=EC, possExceptions=[], time=4.781358242034912
e=1730, method=EC, possExceptions=[], time=5.02961540222168
e=1737, method=EC, possExceptions=[168112, 80118733968], time=4.62903618812561
e=1753, method=EC, possExceptions=[], time=4.455592393875122
e=1756, method=EC, possExceptions=[], time=4.401807546615601
e=1758, method=EC, possExceptions=[], time=5.019998550415039
e=1777, method=EC, possExceptions=[], time=5.061041831970215
e=1779, method=EC, possExceptions=[], time=35.69895386695862
e=1793, method=EC, possExceptions=[], time=3.4897069931030273
e=1800, method=EC, possExceptions=[], time=4.0758445262908936
e=1806, method=EC, possExceptions=[], time=5.454212665557861
e=1808, method=EC, possExceptions=[], time=5.379626750946045
e=1844, method=EC, possExceptions=[], time=6.218472957611084
e=1845, method=EC, possExceptions=[], time=5.235741138458252
e=1849, method=EC, possExceptions=[], time=4.923341751098633
e=1856, method=EC, possExceptions=[5179573], time=4.919866323471069
e=1860, method=EC, possExceptions=[], time=4.774711608886719
e=1861, method=EC, possExceptions=[1063069], time=4.568009853363037
e=1864, method=EC, possExceptions=[], time=4.417772531509399
e=1870, method=EC, possExceptions=[3376870, 41065495, 201231926, 2268749014, 541263671913806], time=5.7302141189575195
e=1871, EC failed, time=5.6515514850616455
e=1871, method=MWcurve, possExceptions=[], time=6.852515935897827
e=1876, method=EC, possExceptions=[], time=36.80985188484192
e=1889, method=EC, possExceptions=[], time=3.4044575691223145
e=1899, method=EC, possExceptions=[], time=4.573025941848755
e=1903, method=EC, possExceptions=[], time=5.588359594345093
e=1905, method=EC, possExceptions=[], time=5.459449768066406
e=1917, method=EC, possExceptions=[], time=5.963918685913086
e=1920, method=EC, possExceptions=[], time=5.166810989379883
e=1923, method=EC, possExceptions=[], time=4.7655510902404785
e=1933, method=EC, possExceptions=[], time=4.818855285644531
e=1954, method=EC, possExceptions=[], time=4.379136562347412
e=1968, method=EC, possExceptions=[], time=4.680882453918457
e=1973, method=EC, possExceptions=[], time=4.387138843536377
e=1982, method=EC, possExceptions=[], time=5.07742714881897
e=1989, method=EC, possExceptions=[21672], time=5.081653833389282
e=2016, method=EC, possExceptions=[], time=22.497967004776
e=2029, method=EC, possExceptions=[], time=23.076051950454712
e=2034, method=EC, possExceptions=[], time=5.668241739273071
e=2046, method=EC, possExceptions=[], time=5.823169469833374
e=2053, method=EC, possExceptions=[], time=5.683185815811157
e=2060, method=EC, possExceptions=[], time=5.161404848098755
